symbol	keggID
ADH6	00830
ADH6	00980
ADH6	00982
ADH6	01100
ADH7	00010
ADH7	00071
ADH7	00350
ADH7	00830
ADH7	00980
ADH7	00982
ADH7	01100
ADK	00230
ADK	01100
ADORA1	04080
ADORA2A	04020
ADORA2A	04080
ADORA2A	04270
ADORA2B	04020
ADORA2B	04080
ADORA2B	04270
ADORA3	04080
PARP1	03410
PARP4	03410
ADRA1D	04020
ADRA1D	04080
ADRA1D	04270
ADRA1D	04970
ADRA1B	04020
ADRA1B	04080
ADRA1B	04270
ADRA1B	04970
ADRA1A	04020
ADRA1A	04080
ADRA1A	04270
ADRA1A	04970
ADRA2A	04080
ADRA2B	04080
ADRA2C	04080
ADRB1	04020
ADRB1	04080
ADRB1	04144
ADRB1	04540
ADRB1	04970
ADRB1	05414
ADRB2	04020
ADRB2	04080
ADRB2	04144
ADRB2	04970
ADRB3	04020
ADRB3	04080
ADRB3	04144
ADRB3	04970
GRK2	04062
GRK2	04144
GRK3	04062
GRK3	04144
GRK3	04740
ADSL	00230
ADSL	00250
ADSL	01100
ADSS2	00230
ADSS2	00250
ADSS2	01100
AP2A1	04144
AP2A1	05016
AP2A2	04144
AP2A2	05016
AP1B1	04142
AP2B1	04144
AP2B1	05016
AP1G1	04142
AGA	00511
AGA	04142
AGL	00500
AGL	01100
AGRP	04920
JAG1	04330
AGT	04614
AGTR1	04020
AGTR1	04080
AGTR1	04270
AGTR1	04614
AGTR2	04080
AGTR2	04614
APLNR	04080
AGXT	00250
AGXT	00260
AGXT	01100
AGXT	04146
AHCY	00270
AHCY	01100
AK1	00230
AK1	01100
AK2	00230
AK2	01100
AK4	00230
AK4	01100
AKT1	04010
AKT1	04012
AKT1	04062
AKT1	04150
AKT1	04210
AKT1	04370
AKT1	04380
AKT1	04510
AKT1	04530
AKT1	04620
AKT1	04630
AKT1	04660
AKT1	04662
AKT1	04664
AKT1	04666
AKT1	04722
AKT1	04910
AKT1	04914
AKT1	04920
AKT1	04973
AKT1	05142
AKT1	05145
AKT1	05160
AKT1	05200
AKT1	05210
AKT1	05211
AKT1	05212
AKT1	05213
AKT1	05214
AKT1	05215
AKT1	05218
AKT1	05220
AKT1	05221
AKT1	05222
AKT1	05223
AKT2	04010
AKT2	04012
AKT2	04062
AKT2	04150
AKT2	04210
AKT2	04370
AKT2	04380
AKT2	04510
AKT2	04530
AKT2	04620
AKT2	04630
AKT2	04660
AKT2	04662
AKT2	04664
AKT2	04666
AKT2	04722
AKT2	04910
AKT2	04914
AKT2	04920
AKT2	04973
AKT2	05142
AKT2	05145
AKT2	05160
AKT2	05200
AKT2	05210
AKT2	05211
AKT2	05212
AKT2	05213
AKT2	05214
AKT2	05215
AKT2	05218
AKT2	05220
AKT2	05221
AKT2	05222
AKT2	05223
ALAD	00860
ALAD	01100
ALAS1	00260
ALAS1	00860
ALAS1	01100
ALAS2	00260
ALAS2	00860
ALAS2	01100
ALCAM	04514
ABCD1	02010
ABCD1	04146
ALDH1A1	00830
ALDH1A1	01100
ALDH2	00010
ALDH2	00040
ALDH2	00053
ALDH2	00071
ALDH2	00280
ALDH2	00310
ALDH2	00330
ALDH2	00340
ALDH2	00380
ALDH2	00410
ALDH2	00561
ALDH2	00620
ALDH2	00640
ALDH2	01100
ALDH3A1	00010
ALDH3A1	00340
ALDH3A1	00350
ALDH3A1	00360
ALDH3A1	00980
ALDH3A1	00982
ALDH3A1	01100
ALDH1B1	00010
ALDH1B1	00040
ALDH1B1	00053
ALDH1B1	00071
ALDH1B1	00280
ALDH1B1	00310
ALDH1B1	00330
ALDH1B1	00340
ALDH1B1	00380
ALDH1B1	00410
ALDH1B1	00561
ALDH1B1	00620
ALDH1B1	00640
ALDH1B1	01100
ALDH1A3	00010
ALDH1A3	00340
ALDH1A3	00350
ALDH1A3	00360
ALDH1A3	00980
ALDH1A3	00982
ALDH1A3	01100
ALDH3B1	00010
ALDH3B1	00340
ALDH3B1	00350
ALDH3B1	00360
ALDH3B1	00980
ALDH3B1	00982
ALDH3B1	01100
ALDH3B2	00010
ALDH3B2	00340
ALDH3B2	00350
ALDH3B2	00360
ALDH3B2	00980
ALDH3B2	00982
ALDH3B2	01100
ALDH9A1	00010
ALDH9A1	00053
ALDH9A1	00071
ALDH9A1	00280
ALDH9A1	00310
ALDH9A1	00330
ALDH9A1	00340
ALDH9A1	00380
ALDH9A1	00410
ALDH9A1	00561
ALDH9A1	00620
ALDH9A1	00640
ALDH9A1	01100
ALDH3A2	00010
ALDH3A2	00040
ALDH3A2	00053
ALDH3A2	00071
ALDH3A2	00280
ALDH3A2	00310
ALDH3A2	00330
ALDH3A2	00340
ALDH3A2	00380
ALDH3A2	00410
ALDH3A2	00561
ALDH3A2	00620
ALDH3A2	00640
ALDH3A2	01100
ABCD2	02010
ABCD2	04146
ALDOA	00010
ALDOA	00030
ALDOA	00051
ALDOA	01100
ALDOB	00010
ALDOB	00030
ALDOB	00051
ALDOB	01100
ALDOC	00010
ALDOC	00030
ALDOC	00051
ALDOC	01100
AKR1B1	00040
AKR1B1	00051
AKR1B1	00052
AKR1B1	00561
AKR1B1	00620
AKR1B1	01100
ALOX12	00590
ALOX12	01100
ALOX5	00590
ALOX5	01100
ALOX5	05145
ALOX12B	00590
ALOX12B	01100
ALOX15	00590
ALOX15	00591
ALOX15	01100
ALOX15B	00590
ALOX15B	01100
ALPI	00790
ALPI	01100
ALPL	00790
ALPL	01100
ALPP	00790
ALPP	01100
ALPG	00790
ALPG	01100
AMD1	00270
AMD1	00330
AMD1	01100
AMFR	04141
AMH	04060
AMH	04350
AMHR2	04060
AMHR2	04350
AMPD1	00230
