symbol	reactomeID
HDAC6	R-HSA-2262752
HDAC6	R-HSA-2644602
HDAC6	R-HSA-2644603
HDAC6	R-HSA-2644606
HDAC6	R-HSA-2894858
HDAC6	R-HSA-2894862
HDAC6	R-HSA-3371511
HDAC6	R-HSA-3371556
HDAC6	R-HSA-350054
HDAC6	R-HSA-5617833
HDAC6	R-HSA-5663202
HDAC6	R-HSA-73857
HDAC6	R-HSA-73857
HDAC6	R-HSA-74160
HDAC6	R-HSA-74160
HDAC6	R-HSA-8878166
HDAC6	R-HSA-8878166
HDAC6	R-HSA-8940973
HDAC6	R-HSA-8941326
HDAC6	R-HSA-8953897
HDAC6	R-HSA-9612973
HDAC6	R-HSA-9612973
HDAC6	R-HSA-9613829
HDAC6	R-HSA-9615710
HDAC6	R-HSA-9646399
HDAC6	R-HSA-9646399
HDAC6	R-HSA-9663891
HDAC6	R-HSA-9663891
TSTD1	R-HSA-1430728
TSTD1	R-HSA-1614517
TSTD1	R-HSA-1614558
TSTD1	R-HSA-1614635
TSTD1	R-HSA-71291
CD300LD	R-HSA-1280218
CD300LD	R-HSA-168256
CD300LD	R-HSA-198933
ZNF705EP	R-HSA-212436
ZNF705EP	R-HSA-73857
ZNF705EP	R-HSA-74160
KRTAP25-1	R-HSA-1266738
KRTAP25-1	R-HSA-6805567
ZNF705G	R-HSA-212436
ZNF705G	R-HSA-73857
ZNF705G	R-HSA-74160
KIR2DS2	R-HSA-1280218
KIR2DS2	R-HSA-168249
KIR2DS2	R-HSA-168256
KIR2DS2	R-HSA-198933
KIR2DS2	R-HSA-2172127
KRTAP4-9	R-HSA-1266738
KRTAP4-9	R-HSA-6805567
DEFB130B	R-HSA-1461957
DEFB130B	R-HSA-1461973
DEFB130B	R-HSA-168249
DEFB130B	R-HSA-168256
DEFB130B	R-HSA-6803157
CD24	R-HSA-1266738
CD24	R-HSA-373760
CD24	R-HSA-422475
CD24	R-HSA-9675108
TEN1	R-HSA-157579
TEN1	R-HSA-1640170
TEN1	R-HSA-174411
TEN1	R-HSA-174417
TEN1	R-HSA-174430
TEN1	R-HSA-180786
TEN1	R-HSA-73886
PLA2G4B	R-HSA-1430728
PLA2G4B	R-HSA-1482788
PLA2G4B	R-HSA-1482801
PLA2G4B	R-HSA-1482839
PLA2G4B	R-HSA-1482925
PLA2G4B	R-HSA-1483115
PLA2G4B	R-HSA-1483166
PLA2G4B	R-HSA-1483206
PLA2G4B	R-HSA-1483257
PLA2G4B	R-HSA-2262752
PLA2G4B	R-HSA-381038
PLA2G4B	R-HSA-381070
PLA2G4B	R-HSA-381119
PLA2G4B	R-HSA-556833
PLA2G4B	R-HSA-8953897
HDAC5	R-HSA-1257604
HDAC5	R-HSA-157118
HDAC5	R-HSA-162582
HDAC5	R-HSA-1643685
HDAC5	R-HSA-1980143
HDAC5	R-HSA-2122947
HDAC5	R-HSA-212436
HDAC5	R-HSA-2644602
HDAC5	R-HSA-2644603
HDAC5	R-HSA-2644606
HDAC5	R-HSA-2894858
HDAC5	R-HSA-2894862
HDAC5	R-HSA-350054
HDAC5	R-HSA-5663202
HDAC5	R-HSA-6807070
HDAC5	R-HSA-73857
HDAC5	R-HSA-74160
HDAC5	R-HSA-8943724
HDAC5	R-HSA-9006925
PDCD6IP	R-HSA-162587
PDCD6IP	R-HSA-162588
PDCD6IP	R-HSA-162599
PDCD6IP	R-HSA-162906
PDCD6IP	R-HSA-1643685
PDCD6IP	R-HSA-5210891
PDCD6IP	R-HSA-5213460
PDCD6IP	R-HSA-5218859
PDCD6IP	R-HSA-5339562
PDCD6IP	R-HSA-5357801
PDCD6IP	R-HSA-5663205
PDCD6IP	R-HSA-5675482
BCL2L11	R-HSA-109581
BCL2L11	R-HSA-109606
BCL2L11	R-HSA-111446
BCL2L11	R-HSA-111453
BCL2L11	R-HSA-114452
BCL2L11	R-HSA-1280215
BCL2L11	R-HSA-162582
BCL2L11	R-HSA-1643685
BCL2L11	R-HSA-168256
BCL2L11	R-HSA-193648
BCL2L11	R-HSA-193704
BCL2L11	R-HSA-204998
BCL2L11	R-HSA-212436
BCL2L11	R-HSA-212436
BCL2L11	R-HSA-5357801
BCL2L11	R-HSA-5663202
BCL2L11	R-HSA-6802952
BCL2L11	R-HSA-6802957
BCL2L11	R-HSA-73857
BCL2L11	R-HSA-73857
BCL2L11	R-HSA-73887
BCL2L11	R-HSA-74160
BCL2L11	R-HSA-74160
BCL2L11	R-HSA-8862803
BCL2L11	R-HSA-8863678
BCL2L11	R-HSA-8878159
BCL2L11	R-HSA-8952158
BCL2L11	R-HSA-9607240
BCL2L11	R-HSA-9614085
BCL2L11	R-HSA-9614657
BCL2L11	R-HSA-9645723
TOMM6	R-HSA-1268020
TOMM6	R-HSA-1632852
TOMM6	R-HSA-5205647
TOMM6	R-HSA-5205685
TOMM6	R-HSA-9609507
TOMM6	R-HSA-9612973
TOMM6	R-HSA-9663891
SH2B3	R-HSA-109582
SH2B3	R-HSA-1280215
SH2B3	R-HSA-1433557
SH2B3	R-HSA-1433559
SH2B3	R-HSA-162582
SH2B3	R-HSA-168256
SH2B3	R-HSA-9006934
SH2B3	R-HSA-9607240
SH2B3	R-HSA-9706369
SH2B3	R-HSA-983231
CDH4	R-HSA-1266738
CDH4	R-HSA-1266738
CDH4	R-HSA-1500931
CDH4	R-HSA-418990
CDH4	R-HSA-421270
CDH4	R-HSA-446728
CDH4	R-HSA-525793
CDH4	R-HSA-525793
GNE	R-HSA-1643685
GNE	R-HSA-3781865
GNE	R-HSA-392499
GNE	R-HSA-4085001
GNE	R-HSA-4085011
GNE	R-HSA-446193
GNE	R-HSA-446203
GNE	R-HSA-446219
GNE	R-HSA-5609975
GNE	R-HSA-5668914
GNE	R-HSA-597592
HCN4	R-HSA-112316
HCN4	R-HSA-1296061
HCN4	R-HSA-1296071
INSL5	R-HSA-162582
INSL5	R-HSA-372790
INSL5	R-HSA-373076
INSL5	R-HSA-375276
INSL5	R-HSA-388396
INSL5	R-HSA-418594
INSL5	R-HSA-444821
INSL5	R-HSA-500792
FRAT1	R-HSA-162582
FRAT1	R-HSA-195253
FRAT1	R-HSA-195721
FRAT1	R-HSA-196299
FRAT1	R-HSA-201681
FRAT1	R-HSA-4641262
MED16	R-HSA-1266738
MED16	R-HSA-1266738
MED16	R-HSA-1430728
MED16	R-HSA-1989781
MED16	R-HSA-212436
MED16	R-HSA-381340
MED16	R-HSA-381340
MED16	R-HSA-400206
MED16	R-HSA-556833
MED16	R-HSA-73857
MED16	R-HSA-74160
PIGK	R-HSA-162791
PIGK	R-HSA-163125
PIGK	R-HSA-392499
PIGK	R-HSA-597592
ARHGEF33	R-HSA-162582
ARHGEF33	R-HSA-193648
ARHGEF33	R-HSA-193704
ARHGEF33	R-HSA-204998
ARHGEF33	R-HSA-372790
ARHGEF33	R-HSA-388396
ARHGEF33	R-HSA-416482
ARHGEF33	R-HSA-73887
MEF2B	R-HSA-1266738
MEF2B	R-HSA-525793
CMC4	R-HSA-1268020
CMC4	R-HSA-9609507
USP17L10	R-HSA-392499
USP17L10	R-HSA-5688426
USP17L10	R-HSA-5689880
USP17L10	R-HSA-597592
USP17L11	R-HSA-392499
USP17L11	R-HSA-5688426
USP17L11	R-HSA-5689880
USP17L11	R-HSA-597592
USP17L12	R-HSA-392499
USP17L12	R-HSA-5688426
USP17L12	R-HSA-5689880
USP17L12	R-HSA-597592
ZNF729	R-HSA-212436
ZNF729	R-HSA-73857
ZNF729	R-HSA-74160
USP17L13	R-HSA-392499
USP17L13	R-HSA-5688426
USP17L13	R-HSA-5689880
USP17L13	R-HSA-597592
USP17L17	R-HSA-392499
USP17L17	R-HSA-5688426
USP17L17	R-HSA-5689880
USP17L17	R-HSA-597592
USP17L18	R-HSA-392499
USP17L18	R-HSA-5688426
USP17L18	R-HSA-5689880
USP17L18	R-HSA-597592
USP17L19	R-HSA-392499
USP17L19	R-HSA-5688426
USP17L19	R-HSA-5689880
USP17L19	R-HSA-597592
USP17L20	R-HSA-392499
USP17L20	R-HSA-5688426
USP17L20	R-HSA-5689880
USP17L20	R-HSA-597592
USP17L21	R-HSA-392499
USP17L21	R-HSA-5688426
USP17L21	R-HSA-5689880
USP17L21	R-HSA-597592
USP17L22	R-HSA-392499
USP17L22	R-HSA-5688426
USP17L22	R-HSA-5689880
USP17L22	R-HSA-597592
TIMM23	R-HSA-1268020
TIMM23	R-HSA-1268020
TIMM23	R-HSA-9609507
TIMM23	R-HSA-9609507
KRTAP21-3	R-HSA-1266738
KRTAP21-3	R-HSA-6805567
DEFB4B	R-HSA-1461957
DEFB4B	R-HSA-1461973
DEFB4B	R-HSA-168249
DEFB4B	R-HSA-168256
DEFB4B	R-HSA-6803157
ZNF605	R-HSA-212436
ZNF605	R-HSA-73857
ZNF605	R-HSA-74160
C4B_2	R-HSA-166658
C4B_2	R-HSA-166663
C4B_2	R-HSA-168249
C4B_2	R-HSA-168256
C4B_2	R-HSA-174577
C4B_2	R-HSA-977606
CDH5	R-HSA-1500931
CDH5	R-HSA-162582
CDH5	R-HSA-194138
CDH5	R-HSA-418990
CDH5	R-HSA-421270
CDH5	R-HSA-4420097
CDH5	R-HSA-446728
CDH5	R-HSA-5218920
CDH5	R-HSA-9006934
GPR75-ASB3	R-HSA-1280218
GPR75-ASB3	R-HSA-168256
GPR75-ASB3	R-HSA-392499
GPR75-ASB3	R-HSA-597592
GPR75-ASB3	R-HSA-8951664
GPR75-ASB3	R-HSA-983168
GPR75-ASB3	R-HSA-983169
TMED7-TICAM2	R-HSA-109581
TMED7-TICAM2	R-HSA-140534
TMED7-TICAM2	R-HSA-166016
TMED7-TICAM2	R-HSA-166166
TMED7-TICAM2	R-HSA-168138
TMED7-TICAM2	R-HSA-168181
TMED7-TICAM2	R-HSA-168249
TMED7-TICAM2	R-HSA-168256
TMED7-TICAM2	R-HSA-168898
TMED7-TICAM2	R-HSA-199977
TMED7-TICAM2	R-HSA-199991
TMED7-TICAM2	R-HSA-2562578
TMED7-TICAM2	R-HSA-392499
TMED7-TICAM2	R-HSA-446203
TMED7-TICAM2	R-HSA-5357769
TMED7-TICAM2	R-HSA-5357801
TMED7-TICAM2	R-HSA-5653656
TMED7-TICAM2	R-HSA-597592
TMED7-TICAM2	R-HSA-6798695
TMED7-TICAM2	R-HSA-6807878
TMED7-TICAM2	R-HSA-6811434
TMED7-TICAM2	R-HSA-6811442
TMED7-TICAM2	R-HSA-8856688
TMED7-TICAM2	R-HSA-936964
TMED7-TICAM2	R-HSA-937041
TMED7-TICAM2	R-HSA-937061
TMED7-TICAM2	R-HSA-937072
TMED7-TICAM2	R-HSA-948021
TMED7-TICAM2	R-HSA-975138
TMED7-TICAM2	R-HSA-975155
TMED7-TICAM2	R-HSA-975163
PARP2	R-HSA-110362
PARP2	R-HSA-110373
PARP2	R-HSA-5685939
PARP2	R-HSA-5693532
PARP2	R-HSA-5693538
PARP2	R-HSA-5696394
PARP2	R-HSA-5696395
PARP2	R-HSA-5696398
PARP2	R-HSA-5696399
PARP2	R-HSA-5696400
PARP2	R-HSA-73884
PARP2	R-HSA-73894
PARP2	R-HSA-73933
CDH6	R-HSA-1500931
CDH6	R-HSA-418990
CDH6	R-HSA-421270
CDH6	R-HSA-446728
TOM1	R-HSA-168249
TOM1	R-HSA-168256
TOM1	R-HSA-6798695
MAMLD1	R-HSA-1266738
MAMLD1	R-HSA-157118
